,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-11-20,198.58,199.59,195.43,197.51,197.51,12370240.0,0.0,1.0
2019-11-19,197.4,200.0,196.86,199.32,199.32,19070291.0,0.0,1.0
2019-11-18,194.56,198.63,193.05,197.4,197.4,16176107.0,0.0,1.0
2019-11-15,194.26,195.3,193.38,195.1,195.1,11530232.0,0.0,1.0
2019-11-14,192.93,194.03,191.45,193.15,193.15,9059897.0,0.0,1.0
2019-11-13,194.7,195.7,192.74,193.19,193.19,11009800.0,0.0,1.0
2019-11-12,190.0,195.06,189.74,194.47,194.47,17615454.0,0.0,1.0
2019-11-11,189.93,190.08,188.54,189.61,189.61,8637768.0,0.0,1.0
2019-11-08,190.0,192.34,189.7,190.84,190.84,10764784.0,0.0,1.0
2019-11-07,191.91,193.44,189.47,190.42,190.42,13472998.0,0.0,1.0
2019-11-06,194.03,194.37,191.35,191.55,191.55,10973019.0,0.0,1.0
2019-11-05,195.37,195.75,193.6,194.32,194.32,9941954.0,0.0,1.0
2019-11-04,194.55,197.3672,193.8119,194.72,194.72,16371292.0,0.0,1.0
2019-11-01,192.85,194.11,189.91,193.62,193.62,21711829.0,0.0,1.0
2019-10-31,196.7,198.09,188.25,191.65,191.65,42286529.0,0.0,1.0
2019-10-30,189.56,190.45,185.98,188.25,188.25,28734559.0,0.0,1.0
2019-10-29,191.69,192.53,188.47,189.31,189.31,13574874.0,0.0,1.0
2019-10-28,187.2,189.53,185.08,189.4,189.4,13377192.0,0.0,1.0
2019-10-25,185.83,189.0,185.0876,187.89,187.89,8061240.0,0.0,1.0
2019-10-24,184.62,186.73,182.8,186.38,186.38,11505406.0,0.0,1.0
2019-10-23,182.01,186.38,182.0,186.15,186.15,12370819.0,0.0,1.0
2019-10-22,190.0,190.65,181.5,182.34,182.34,19854192.0,0.0,1.0
2019-10-21,187.04,189.91,186.75,189.76,189.76,8122598.0,0.0,1.0
2019-10-18,190.23,191.49,183.9239,185.85,185.85,16584992.0,0.0,1.0
2019-10-17,190.3,190.84,188.765,190.39,190.39,9761548.0,0.0,1.0
2019-10-16,188.32,189.7,186.9002,189.55,189.55,10560343.0,0.0,1.0
2019-10-15,183.8,190.38,183.66,188.89,188.89,15143119.0,0.0,1.0
2019-10-14,184.2,184.62,182.5735,183.28,183.28,7203665.0,0.0,1.0
2019-10-11,182.15,186.49,182.14,184.19,184.19,14998754.0,0.0,1.0
2019-10-10,180.32,181.61,179.17,180.03,180.03,8980978.0,0.0,1.0
2019-10-09,179.16,180.72,177.94,179.85,179.85,7648874.0,0.0,1.0
2019-10-08,178.26,180.37,177.72,177.75,177.75,10084896.0,0.0,1.0
2019-10-07,180.0,181.18,178.09,179.68,179.68,9359793.0,0.0,1.0
2019-10-04,179.55,180.98,178.1,180.45,180.45,10476395.0,0.0,1.0
2019-10-03,175.57,179.84,173.63,179.38,179.38,16789319.0,0.0,1.0
2019-10-02,174.84,176.53,173.09,174.6,174.6,16374148.0,0.0,1.0
2019-10-01,179.15,179.84,174.88,175.81,175.81,17261556.0,0.0,1.0
2019-09-30,177.87,178.67,176.85,178.08,178.08,11071425.0,0.0,1.0
2019-09-27,178.16,180.755,175.66,177.1,177.1,14663575.0,0.0,1.0
2019-09-26,181.33,181.4,177.67,180.11,180.11,16280691.0,0.0,1.0
2019-09-25,181.45,183.42,177.87,182.8,182.8,18339960.0,0.0,1.0
2019-09-24,187.98,188.04,180.39,181.28,181.28,18775666.0,0.0,1.0
2019-09-23,189.34,190.1,185.2062,186.82,186.82,14370089.0,0.0,1.0
2019-09-20,190.66,193.1,188.12,189.93,189.93,20359878.0,0.0,1.0
2019-09-19,188.66,191.1,188.15,190.14,190.14,10474685.0,0.0,1.0
2019-09-18,188.09,189.08,186.012,188.14,188.14,9945798.0,0.0,1.0
2019-09-17,186.66,188.32,185.54,188.08,188.08,9751570.0,0.0,1.0
2019-09-16,186.93,187.7943,185.765,186.22,186.22,8444844.0,0.0,1.0
2019-09-13,187.325,187.97,186.54,187.19,187.19,11441116.0,0.0,1.0
2019-09-12,189.86,190.93,187.23,187.47,187.47,11419775.0,0.0,1.0
2019-09-11,186.46,189.44,186.08,188.49,188.49,11761660.0,0.0,1.0
2019-09-10,187.44,188.1,184.55,186.17,186.17,15455867.0,0.0,1.0
2019-09-09,187.73,188.98,185.8466,188.76,188.76,14722402.0,0.0,1.0
2019-09-06,190.21,190.21,186.35,187.49,187.49,15226820.0,0.0,1.0
2019-09-05,188.53,191.36,187.94,190.9,190.9,13896621.0,0.0,1.0
2019-09-04,184.65,187.7494,183.89,187.14,187.14,11314571.0,0.0,1.0
2019-09-03,184.0,185.67,182.11,182.39,182.39,9792187.0,0.0,1.0
2019-08-30,186.78,186.8017,183.4585,185.67,185.67,10785722.0,0.0,1.0
2019-08-29,183.77,186.0752,183.47,185.57,185.57,10135033.0,0.0,1.0
2019-08-28,180.53,181.95,178.92,181.76,181.76,9364533.0,0.0,1.0
2019-08-27,181.93,184.04,181.01,181.3,181.3,14408946.0,0.0,1.0
2019-08-26,179.4,180.5,178.24,180.36,180.36,8780477.0,0.0,1.0
2019-08-23,180.84,183.13,176.66,177.75,177.75,17331221.0,0.0,1.0
2019-08-22,183.43,184.11,179.91,182.04,182.04,10829509.0,0.0,1.0
2019-08-21,185.0,185.9,183.14,183.55,183.55,8409548.0,0.0,1.0
2019-08-20,185.45,186.0,182.39,183.81,183.81,10087592.0,0.0,1.0
2019-08-19,186.01,187.5,184.85,186.17,186.17,9699661.0,0.0,1.0
2019-08-16,183.75,185.1,182.36,183.7,183.7,12844832.0,0.0,1.0
